step,strat,count
265,"0,3",5
266,"3,0",0
266,"2,1",0
266,"1,2",0
266,"0,3",5
267,"3,0",0
267,"2,1",0
267,"1,2",0
267,"0,3",5
268,"3,0",0
268,"2,1",0
268,"1,2",0
268,"0,3",5
269,"3,0",0
269,"2,1",0
269,"1,2",0
269,"0,3",5
270,"3,0",0
270,"2,1",0
270,"1,2",0
270,"0,3",5
271,"3,0",0
271,"2,1",0
271,"1,2",0
271,"0,3",5
272,"3,0",0
272,"2,1",0
272,"1,2",0
272,"0,3",5
273,"3,0",0
273,"2,1",0
273,"1,2",1
273,"0,3",4
274,"3,0",0
274,"2,1",0
274,"1,2",1
274,"0,3",4
275,"3,0",0
275,"2,1",0
275,"1,2",1
275,"0,3",4
276,"3,0",0
276,"2,1",0
276,"1,2",0
276,"0,3",5
277,"3,0",0
277,"2,1",0
277,"1,2",0
277,"0,3",5
278,"3,0",0
278,"2,1",0
278,"1,2",0
278,"0,3",5
279,"3,0",0
279,"2,1",0
279,"1,2",0
279,"0,3",5
280,"3,0",0
280,"2,1",0
280,"1,2",0
280,"0,3",5
281,"3,0",0
281,"2,1",0
281,"1,2",0
281,"0,3",5
282,"3,0",0
282,"2,1",0
282,"1,2",0
282,"0,3",5
283,"3,0",0
283,"2,1",0
283,"1,2",1
283,"0,3",4
284,"3,0",0
284,"2,1",0
284,"1,2",1
284,"0,3",4
285,"3,0",0
285,"2,1",0
285,"1,2",1
285,"0,3",4
286,"3,0",0
286,"2,1",0
286,"1,2",1
286,"0,3",4
287,"3,0",0
287,"2,1",0
287,"1,2",1
287,"0,3",4
288,"3,0",0
288,"2,1",0
288,"1,2",1
288,"0,3",4
289,"3,0",0
289,"2,1",0
289,"1,2",1
289,"0,3",4
290,"3,0",0
290,"2,1",0
290,"1,2",1
290,"0,3",4
291,"3,0",0
291,"2,1",0
291,"1,2",0
291,"0,3",5
292,"3,0",0
292,"2,1",0
292,"1,2",1
292,"0,3",4
293,"3,0",0
293,"2,1",0
293,"1,2",0
293,"0,3",5
294,"3,0",0
294,"2,1",0
294,"1,2",0
294,"0,3",5
295,"3,0",0
295,"2,1",0
295,"1,2",0
295,"0,3",5
296,"3,0",0
296,"2,1",0
296,"1,2",0
296,"0,3",5
297,"3,0",0
297,"2,1",0
297,"1,2",0
297,"0,3",5
298,"3,0",0
298,"2,1",0
298,"1,2",0
298,"0,3",5
299,"3,0",0
299,"2,1",0
299,"1,2",1
299,"0,3",4
300,"3,0",0
300,"2,1",1
300,"1,2",0
300,"0,3",4
301,"3,0",0
301,"2,1",1
301,"1,2",0
301,"0,3",4
302,"3,0",0
302,"2,1",1
302,"1,2",0
302,"0,3",4
303,"3,0",0
303,"2,1",1
303,"1,2",0
303,"0,3",4
304,"3,0",0
304,"2,1",0
304,"1,2",0
304,"0,3",5
305,"3,0",0
305,"2,1",0
305,"1,2",0
305,"0,3",5
306,"3,0",0
306,"2,1",0
306,"1,2",0
306,"0,3",5
307,"3,0",0
307,"2,1",0
307,"1,2",0
307,"0,3",5
308,"3,0",0
308,"2,1",0
308,"1,2",0
308,"0,3",5
309,"3,0",0
309,"2,1",0
309,"1,2",0
309,"0,3",5
310,"3,0",0
310,"2,1",0
310,"1,2",0
310,"0,3",5
311,"3,0",0
311,"2,1",0
311,"1,2",0
311,"0,3",5
312,"3,0",0
312,"2,1",0
312,"1,2",0
312,"0,3",5
313,"3,0",0
313,"2,1",0
313,"1,2",1
313,"0,3",4
314,"3,0",0
314,"2,1",0
314,"1,2",1
314,"0,3",4
315,"3,0",0
315,"2,1",0
315,"1,2",1
315,"0,3",4
316,"3,0",0
316,"2,1",0
316,"1,2",1
316,"0,3",4
317,"3,0",0
317,"2,1",0
317,"1,2",0
317,"0,3",5
318,"3,0",0
318,"2,1",0
318,"1,2",0
318,"0,3",5
319,"3,0",0
319,"2,1",0
319,"1,2",0
319,"0,3",5
320,"3,0",0
320,"2,1",0
320,"1,2",0
320,"0,3",5
321,"3,0",0
321,"2,1",0
321,"1,2",0
321,"0,3",5
322,"3,0",0
322,"2,1",0
322,"1,2",0
322,"0,3",5
323,"3,0",0
323,"2,1",0
323,"1,2",0
323,"0,3",5
324,"3,0",0
324,"2,1",0
324,"1,2",1
324,"0,3",4
325,"3,0",0
325,"2,1",0
325,"1,2",1
325,"0,3",4
326,"3,0",0
326,"2,1",0
326,"1,2",0
326,"0,3",5
327,"3,0",0
327,"2,1",0
327,"1,2",0
327,"0,3",5
328,"3,0",0
328,"2,1",0
328,"1,2",0
328,"0,3",5
329,"3,0",0
329,"2,1",1
329,"1,2",0
329,"0,3",4
330,"3,0",0
330,"2,1",1
330,"1,2",0
330,"0,3",4
331,"3,0",0
331,"2,1",0
331,"1,2",0
