step,strat,count
356,"3,0,0,0",999
356,"1,1,0,1",1
357,"3,0,0,0",999
357,"1,1,0,1",1
358,"3,0,0,0",999
358,"1,1,0,1",1
359,"3,0,0,0",999
359,"1,1,0,1",1
360,"3,0,0,0",999
360,"1,1,0,1",1
361,"3,0,0,0",999
361,"1,1,0,1",1
362,"3,0,0,0",999
362,"1,1,0,1",1
363,"3,0,0,0",999
363,"1,1,0,1",1
364,"3,0,0,0",999
364,"1,1,0,1",1
365,"3,0,0,0",999
365,"1,1,0,1",1
366,"3,0,0,0",999
366,"1,1,0,1",1
367,"3,0,0,0",999
367,"1,1,0,1",1
368,"3,0,0,0",999
368,"1,1,0,1",1
369,"3,0,0,0",999
369,"1,1,0,1",1
370,"3,0,0,0",999
370,"1,1,0,1",1
371,"3,0,0,0",999
371,"1,1,0,1",1
372,"3,0,0,0",999
372,"1,1,0,1",1
373,"3,0,0,0",998
373,"1,1,0,1",1
373,"0,1,1,1",1
374,"3,0,0,0",998
374,"1,1,0,1",1
374,"0,1,1,1",1
375,"3,0,0,0",998
375,"1,1,0,1",1
375,"0,1,1,1",1
376,"3,0,0,0",998
376,"1,1,0,1",1
376,"0,1,1,1",1
377,"3,0,0,0",998
377,"1,1,0,1",1
377,"0,1,1,1",1
378,"3,0,0,0",998
378,"1,1,0,1",1
378,"0,1,1,1",1
379,"3,0,0,0",998
379,"1,1,0,1",1
379,"0,1,1,1",1
380,"3,0,0,0",998
380,"1,1,0,1",1
380,"0,1,1,1",1
381,"3,0,0,0",998
381,"1,1,0,1",1
381,"0,1,1,1",1
382,"3,0,0,0",998
382,"1,1,0,1",1
382,"0,1,1,1",1
383,"3,0,0,0",998
383,"1,1,0,1",1
383,"0,1,1,1",1
384,"3,0,0,0",998
384,"1,1,0,1",1
384,"0,1,1,1",1
385,"3,0,0,0",998
385,"1,1,0,1",1
385,"0,1,1,1",1
386,"3,0,0,0",998
386,"1,1,0,1",1
386,"0,1,1,1",1
387,"3,0,0,0",998
387,"1,1,0,1",1
387,"0,1,1,1",1
388,"3,0,0,0",998
388,"1,1,0,1",1
388,"0,1,1,1",1
389,"3,0,0,0",998
389,"1,1,0,1",1
389,"0,1,1,1",1
390,"3,0,0,0",998
390,"1,1,0,1",1
390,"0,1,1,1",1
391,"3,0,0,0",998
391,"1,1,0,1",1
391,"0,1,1,1",1
392,"3,0,0,0",998
392,"1,1,0,1",1
392,"0,1,1,1",1
393,"3,0,0,0",998
393,"1,1,0,1",1
393,"0,1,1,1",1
394,"3,0,0,0",998
394,"1,1,0,1",1
394,"0,1,1,1",1
395,"3,0,0,0",997
395,"1,1,0,1",1
395,"0,1,1,1",1
395,"2,1,0,0",1
396,"3,0,0,0",997
396,"1,1,0,1",1
396,"0,1,1,1",1
396,"2,1,0,0",1
397,"3,0,0,0",997
397,"1,1,0,1",1
397,"0,1,1,1",1
397,"2,1,0,0",1
398,"3,0,0,0",997
398,"1,1,0,1",1
398,"0,1,1,1",1
398,"2,1,0,0",1
399,"3,0,0,0",997
399,"1,1,0,1",1
399,"0,1,1,1",1
399,"2,1,0,0",1
400,"3,0,0,0",997
400,"1,1,0,1",1
400,"0,1,1,1",1
400,"2,1,0,0",1
401,"3,0,0,0",997
401,"1,1,0,1",1
401,"0,1,1,1",1
401,"2,1,0,0",1
402,"3,0,0,0",997
402,"1,1,0,1",1
402,"0,1,1,1",1
402,"2,1,0,0",1
403,"3,0,0,0",997
403,"1,1,0,1",1
403,"0,1,1,1",1
403,"2,1,0,0",1
404,"3,0,0,0",997
404,"1,1,0,1",1
404,"0,1,1,1",1
404,"2,1,0,0",1
405,"3,0,0,0",997
405,"1,1,0,1",1
405,"0,1,1,1",1
405,"2,1,0,0",1
406,"3,0,0,0",997
406,"1,1,0,1",1
406,"0,1,1,1",1
406,"2,1,0,0",1
407,"3,0,0,0",997
407,"1,1,0,1",1
407,"0,1,1,1",1
407,"2,1,0,0",1
408,"3,0,0,0",996
408,"1,1,0,1",1
408,"0,1,1,1",1
408,"2,1,0,0",1
408,"1,2,0,0",1
409,"3,0,0,0",996
409,"1,1,0,1",1
409,"0,1,1,1",1
409,"2,1,0,0",1
409,"1,2,0,0",1
410,"3,0,0,0",996
410,"1,1,0,1",1
410,"0,1,1,1",1
410,"2,1,0,0",1
410,"1,2,0,0",1
411,"3,0,0,0",996
411,"1,1,0,1",1
411,"0,1,1,1",1
411,"2,1,0,0",1
411,"1,2,0,0",1
412,"3,0,0,0",996
412,"1,1,0,1",1
412,"0,1,1,1",1
412,"2,1,0,0",1
412,"1,2,0,0",1
413,"3,0,0,0",996
413,"1,1,0,1",1
413,"0,1,1,1",1
413,"2,1,0,0",1
413,"1,2,0,0",1
414,"3,0,0,0",996
414,"1,1,0,1",1
414,"0,1,1,1",1
414,"2,1,0,0",1
414,"1,2,0,0",1
415,"3,0,0,0",996
415,"1,1,0,1",1
415,"0,1,1,1",1
415,"2,1,0,0",1
415,"1,2,0,0",1
416,"3,0,0,0",996
416,"1,1,0,1",1
416,"0,1,1,1",1
416,"2,1,0,0",1
416,"1,2,0,0",1
417,"3,0,0,0",996
417,"1,1,0,1",1
417,"0,1,1,1",1
417,"2,1,0,0",1
417,"1,2,0,0",1
418,"3,0,0,0",996
418,"1,1,0,1",1
418,"0,1,1,1",1
418,"2,1,0,0",1
418,"1,2,0,0",1
419,"3,0,0,0",996
419,"1,1,0,1",1
419,"0,1,1,1",1
419,"2,1,0,0",1
419,"1,2,0,0",1
420,"3,0,0,0",996
420,"1,1,0,1",1
420,"0,1,1,1",1
420,"2,1,0,0",1
420,"1,2,0,0",1
421,"3,0,0,0",996
421,"1,1,0,1",1
421,"0,1,1,1",1
421,"2,1,0,0",1
421,"1,2,0,0",1
422,"3,0,0,0",996
422,"1,1,0,1",1
422,"0,1,1,1",1
422,"2,1,0,0",1
422,"1,2,0,0",1
423,"3,0,0,0",996
423,"1,1,0,1",1
423,"0,1,1,1",1
423,"2,1,0,0",1
423,"1,2,0,0",1
424,"3,0,0,0",996
424,"1,1,0,1",1
424,"0,1,1,1",1
424,"2,1,0,0",1
424,"1,2,0,0",1
425,"3,0,0,0",996
425,"1,1,0,1",1
425,"0,1,1,1",1
425,"2,1,0,0",1
425,"1,2,0,0",1
426,"3,0,0,0",996
426,"1,1,0,1",1
426,"0,1,1,1",1
426,"2,1,0,0",1
426,"1,2,0,0",1
427,"3,0,0,0",996
427,"1,1,0,1",1
427,"0,1,1,1",1
427,"2,1,0,0",1
427,"1,2,0,0",1
428,"3,0,0,0",996
428,"1,1,0,1",1
428,"0,1,1,1",1
428,"2,1,0,0",1
428,"1,2,0,0",1
429,"3,0,0,0",996
429,"1,1,0,1",1
429,"0,1,1,1",1
429,"2,1,0,0",1
429,"1,2,0,0",1
430,"3,0,0,0",996
430,"1,1,0,1",1
430,"0,1,1,1",1
430,"2,1,0,0",1
430,"1,2,0,0",1
431,"3,0,0,0",996
431,"1,1,0,1",1
431,"0,1,1,1",1
431,"2,1,0,0",1
431,"1,2,0,0",1
432,"3,0,0,0",996
432,"1,1,0,1",1
432,"0,1,1,1",1
432,"2,1,0,0",1
432,"1,2,0,0",1
433,"3,0,0,0",996
433,"1,1,0,1",1
433,"0,1,1,1",1
433,"2,1,0,0",1
433,"1,2,0,0",1
434,"3,0,0,0",996
434,"1,1,0,1",1
434,"0,1,1,1",1
434,"2,1,0,0",1
434,"1,2,0,0",1
435,"3,0,0,0",996
435,"1,1,0,1",1
435,"0,1,1,1",1
435,"2,1,0,0",1
435,"1,2,0,0",1
436,"3,0,0,0",996
436,"1,1,0,1",1
436,"0,1,1,1",1
436,"2,1,0,0",1
436,"1,2,0,0",1
437,"3,0,0,0",996
437,"1,1,0,1",1
437,"0,1,1,1",1
437,"2,1,0,0",1
437,"1,2,0,0",1
438,"3,0,0,0",996
438,"1,1,0,1",1
438,"0,1,1,1",1
438,"2,1,0,0",1
438,"1,2,0,0",1
439,"3,0,0,0",996
439,"1,1,0,1",1
439,"0,1,1,1",1
439,"2,1,0,0",1
439,"1,2,0,0",1
440,"3,0,0,0",996
440,"1,1,0,1",1
440,"0,1,1,1",1
440,"2,1,0,0",1
440,"1,2,0,0",1
441,"3,0,0,0",996
441,"1,1,0,1",1
441,"0,1,1,1",1
441,"2,1,0,0",1
441,"1,2,0,0",1
442,"3,0,0,0",996
442,"1,1,0,1",1
442,"0,1,1,1",1
442,"2,1,0,0",1
442,"1,2,0,0",1
443,"3,0,0,0",996
443,"1,1,0,1",1
443,"0,1,1,1",1
443,"2,1,0,0",1
443,"1,2,0,0",1
444,"3,0,0,0",996
444,"1,1,0,1",1
444,"0,1,1,1",1
444,"2,1,0,0",1
444,"1,2,0,0",1
445,"3,0,0,0",996
445,"1,1,0,1",1
445,"0,1,1,1",1
445,"2,1,0,0",1
445,"1,2,0,0",1
446,"3,0,0,0",996
446,"1,1,0,1",1
446,"0,1,1,1",1
446,"2,1,0,0",1
446,"1,2,0,0",1
447,"3,0,0,0",996
447,"1,1,0,1",1
447,"0,1,1,1",1
447,"2,1,0,0",1
447,"1,2,0,0",1
448,"3,0,0,0",996
448,"1,1,0,1",1
448,"0,1,1,1",1
448,"2,1,0,0",1
448,"1,2,0,0",1
449,"3,0,0,0",996
449,"1,1,0,1",1
449,"0,1,1,1",1
449,"2,1,0,0",1
449,"1,2,0,0",1
450,"3,0,0,0",996
450,"1,1,0,1",1
450,"0,1,1,1",1
450,"2,1,0,0",1
450,"1,2,0,0",1
451,"3,0,0,0",996
451,"1,1,0,1",1
451,"0,1,1,1",1
451,"2,1,0,0",1
451,"1,2,0,0",1
452,"3,0,0,0",996
452,"1,1,0,1",1
452,"0,1,1,1",1
452,"2,1,0,0",1
452,"1,2,0,0",1
453,"3,0,0,0",996
453,"1,1,0,1",1
453,"0,1,1,1",1
453,"2,1,0,0",1
453,"1,2,0,0",1
454,"3,0,0,0",996
454,"1,1,0,1",1
454,"0,1,1,1",1
454,"2,1,0,0",1
454,"1,2,0,0",1
455,"3,0,0,0",996
455,"1,1,0,1",1
455,"0,1,1,1",1
455,"2,1,0,0",1
455,"1,2,0,0",1
456,"3,0,0,0",996
456,"1,1,0,1",1
456,"0,1,1,1",1
456,"2,1,0,0",1
456,"1,2,0,0",1
457,"3,0,0,0",996
457,"1,1,0,1",1
457,"0,1,1,1",1
457,"2,1,0,0",1
457,"1,2,0,0",1
458,"3,0,0,0",996
458,"1,1,0,1",1
458,"0,1,1,1",1
458,"2,1,0,0",1
458,"1,2,0,0",1
459,"3,0,0,0",996
459,"1,1,0,1",1
459,"0,1,1,1",1
459,"2,1,0,0",1
459,"1,2,0,0",1
460,"3,0,0,0",996
460,"1,1,0,1",1
460,"0,1,1,1",1
460,"2,1,0,0",1
460,"1,2,0,0",1
461,"3,0,0,0",996
461,"1,1,0,1",1
461,"0,1,1,1",1
461,"2,1,0,0",1
461,"1,2,0,0",1
462,"3,0,0,0",996
462,"1,1,0,1",1
462,"0,1,1,1",1
462,"2,1,0,0",1
462,"1,2,0,0",1
463,"3,0,0,0",996
463,"1,1,0,1",1
463,"0,1,1,1",1
463,"2,1,0,0",1
463,"1,2,0,0",1
464,"3,0,0,0",996
464,"1,1,0,1",1
464,"0,1,1,1",1
464,"2,1,0,0",1
464,"1,2,0,0",1
465,"3,0,0,0",996
465,"1,1,0,1",1
465,"0,1,1,1",1
465,"2,1,0,0",1
465,"1,2,0,0",1
466,"3,0,0,0",996
466,"1,1,0,1",1
466,"0,1,1,1",1
466,"2,1,0,0",1
466,"1,2,0,0",1
467,"3,0,0,0",996
467,"1,1,0,1",1
467,"0,1,1,1",1
467,"2,1,0,0",1
467,"1,2,0,0",1
468,"3,0,0,0",996
468,"1,1,0,1",1
468,"0,1,1,1",1
468,"2,1,0,0",1
468,"1,2,0,0",1
469,"3,0,0,0",996
469,"1,1,0,1",1
469,"0,1,1,1",1
469,"2,1,0,0",1
469,"1,2,0,0",1
470,"3,0,0,0",996
470,"1,1,0,1",1
470,"0,1,1,1",1
470,"2,1,0,0",1
470,"1,2,0,0",1
471,"3,0,0,0",996
471,"1,1,0,1",1
471,"0,1,1,1",1
471,"2,1,0,0",1
471,"1,2,0,0",1
472,"3,0,0,0",996
472,"1,1,0,1",1
472,"0,1,1,1",1
472,"2,1,0,0",1
472,"1,2,0,0",1
473,"3,0,0,0",996
473,"1,1,0,1",1
473,"0,1,1,1",1
473,"2,1,0,0",1
473,"1,2,0,0",1
474,"3,0,0,0",996
474,"1,1,0,1",1
474,"0,1,1,1",1
474,"2,1,0,0",1
474,"1,2,0,0",1
475,"3,0,0,0",996
475,"1,1,0,1",1
475,"0,1,1,1",1
475,"2,1,0,0",1
475,"1,2,0,0",1
476,"3,0,0,0",996
476,"1,1,0,1",1
476,"0,1,1,1",1
476,"2,1,0,0",1
476,"1,2,0,0",1
477,"3,0,0,0",996
477,"1,1,0,1",1
477,"0,1,1,1",1
477,"2,1,0,0",1
477,"1,2,0,0",1
478,"3,0,0,0",996
478,"1,1,0,1",1
478,"0,1,1,1",1
478,"2,1,0,0",1
478,"1,2,0,0",1
479,"3,0,0,0",996
479,"1,1,0,1",1
479,"0,1,1,1",1
479,"2,1,0,0",1
479,"1,2,0,0",1
480,"3,0,0,0",996
480,"1,1,0,1",1
480,"0,1,1,1",1
480,"2,1,0,0",1
480,"1,2,0,0",1
481,"3,0,0,0",996
481,"1,1,0,1",1
481,"0,1,1,1",1
481,"2,1,0,0",1
481,"1,2,0,0",1
482,"3,0,0,0",996
482,"1,1,0,1",1
482,"0,1,1,1",1
482,"2,1,0,0",1
482,"1,2,0,0",1
483,"3,0,0,0",996
483,"1,1,0,1",1
483,"0,1,1,1",1
483,"2,1,0,0",1
483,"1,2,0,0",1
484,"3,0,0,0",996
484,"1,1,0,1",1
484,"0,1,1,1",1
484,"2,1,0,0",1
484,"1,2,0,0",1
485,"3,0,0,0",996
485,"1,1,0,1",1
485,"0,1,1,1",1
485,"2,1,0,0",1
485,"1,2,0,0",1
486,"3,0,0,0",996
486,"1,1,0,1",1
486,"0,1,1,1",1
486,"2,1,0,0",1
486,"1,2,0,0",1
487,"3,0,0,0",996
487,"1,1,0,1",1
487,"0,1,1,1",1
487,"2,1,0,0",1
487,"1,2,0,0",1
488,"3,0,0,0",996
488,"1,1,0,1",1
488,"0,1,1,1",1
488,"2,1,0,0",1
488,"1,2,0,0",1
489,"3,0,0,0",996
489,"1,1,0,1",1
489,"0,1,1,1",1
489,"2,1,0,0",1
489,"1,2,0,0",1
490,"3,0,0,0",996
490,"1,1,0,1",1
490,"0,1,1,1",1
490,"2,1,0,0",1
490,"1,2,0,0",1
491,"3,0,0,0",996
491,"1,1,0,1",1
491,"0,1,1,1",1
491,"2,1,0,0",1
491,"1,2,0,0",1
492,"3,0,0,0",996
492,"1,1,0,1",1
492,"0,1,1,1",1
492,"2,1,0,0",1
492,"1,2,0,0",1
493,"3,0,0,0",996
493,"1,1,0,1",1
493,"0,1,1,1",1
493,"2,1,0,0",1
493,"1,2,0,0",1
494,"3,0,0,0",996
494,"1,1,0,1",1
494,"0,1,1,1",1
494,"2,1,0,0",1
494,"1,2,0,0",1
495,"3,0,0,0",996
495,"1,1,0,1",1
495,"0,1,1,1",1
495,"2,1,0,0",1
495,"1,2,0,0",1
496,"3,0,0,0",996
496,"1,1,0,1",1
